Generator,Generator Name,Supply
AB Newsprint (ANC1),ANC1,62
Bantry (ALP1),ALP1,7
Bellshill (BHL1),BHL1,0
Benalto 1 (VBN1),VBN1,5
Briker 1 (VBR1),VBR1,5
Carson Creek (GEN5),GEN5,13
Cloverbar #1 (ENC1),ENC1,0
Cloverbar #2 (ENC2),ENC2,0
Cloverbar #3 (ENC3),ENC3,0
Crossfield Energy Centre #1 (CRS1),CRS1,0
Crossfield Energy Centre #2 (CRS2),CRS2,0
Crossfield Energy Centre #3 (CRS3)^,CRS3,0
Drywood (DRW1),DRW1,0
High River 1 (HRV1),HRV1,0
High River 2 (HRV2),HRV2,0
Judy Creek (GEN6),GEN6,10
Kenilworth 1 (VKW1),VKW1,5
Lethbridge Burdett (ME03),ME03,0
Lethbridge Coaldale (ME04),ME04,0
Lethbridge Taber (ME02),ME02,0
NPC2 JL Landry (NPC2),NPC2,9
NPC3 Elmworth (NPC3),NPC3,9
Netook 1 (VNT1),VNT1,5
Northern Prairie Power Project (NPP1),NPP1,79
Northern Valley 1 (VNV1),VNV1,5
Parkland (ALP2),ALP2,9
Poplar Hill #1 (PH1),PH1,34
Rainbow #5 (RB5),RB5,0
Ralston (NAT1),NAT1,20
South Edmonton Terminal (SET1),SET1,0
Valley View 1 (VVW1),VVW1,45
Valley View 2 (VVW2),VVW2,44
West Cadotte (WCD1),WCD1,13
West Pembina (PMB1)*,PMB1,12
Wilson Creek (WLC1),WLC1,0
Air Liquide Scotford #1 (ALS1),ALS1,83
AltaGas Harmattan (HMT1),HMT1,39
Base Plant (SCR1),SCR1,462
Bear Creek 1 (BCRK),BCRK,60
Bear Creek 2 (BCR2),BCR2,24
Blackfalds (BFD1),BFD1,0
CNRL Horizon (CNR5)*,CNR5,183
COD1 Coaldale (COD1),COD1,5
Camrose (CRG1)*,CRG1,10
Caroline (SHCG)*,SHCG,0
Carseland Cogen (TC01),TC01,82
Christina Lake (CL01),CL01,89
Dow Hydrocarbon (DOWG),DOWG,200
Edson (TLM2),TLM2,5
Empress (EPS1)*,EPS1,0
Firebag (SCR6),SCR6,434
Fort Hills (FH1),FH1,183
Foster Creek (EC04),EC04,82
Heartland Petrochemical (HRT1),HRT1,102
Joffre #1 (JOF1),JOF1,400
Kearl (IOR3),IOR3,75
Lindbergh (PEC1)*,PEC1,15
MEG1 Christina Lake (MEG1),MEG1,162
MacKay River (MKRC),MKRC,191
Mahkeses (IOR1),IOR1,167
Mulligan (MUL1)*,MUL1,5
Muskeg River (MKR1),MKR1,180
Nabiye (IOR2)*,IOR2,170
Nexen Inc #2 (NX02),NX02,90
Poplar Creek (SCR5),SCR5,334
Primrose #1 (PR1),PR1,84
Rainbow Lake #1 (RL1),RL1,0
Redwater Cogen (TC02),TC02,76
Saddle Hills (SDH1),SDH1,3
Scotford Upgrader (APS1),APS1,150
Strathcona (IOR4)*,IOR4,17
Syncrude #1 (SCL1),SCL1,381
U of C Generator (UOC1)*,UOC1,0
University of Alberta (UOA1)*,UOA1,21
Wapiti (WPT1)*,WPT1,21
Wembley (WEM1)*,WEM1,15
Cascade 1 (CAS1),CAS1,0
Cascade 2 (CAS2),CAS2,447
Cavalier (EC01),EC01,3
ENMAX Calgary Energy Centre (CAL1),CAL1,205
Fort Nelson (FNG1),FNG1,0
Genesee Repower 1 (GNR1),GNR1,469
Genesee Repower 2 (GNR2),GNR2,466
H.R. Milner (HRM),HRM,275
Medicine Hat #1 (CMH1),CMH1,207
Nexen Inc #1 (NX01),NX01,51
Shepard (EGC1),EGC1,807
Battle River #4 (BR4),BR4,0
Battle River #5 (BR5),BR5,0
Genesee #3 (GN3),GN3,466
Keephills #2 (KH2),KH2,0
Keephills #3 (KH3),KH3,427
Sheerness #1 (SH1),SH1,0
Sheerness #2 (SH2),SH2,0
Sundance #6 (SD6),SD6,0
Bighorn Hydro (BIG),BIG,47
Bow River Hydro (BOW1),BOW1,96
Brazeau Hydro (BRA),BRA,22
Chin Chute (CHIN),CHIN,0
Dickson Dam (DKSN),DKSN,4
Irrican Hydro (ICP1),ICP1,0
Oldman River (OMRH),OMRH,4
Raymond Reservoir (RYMD)^,RYMD,0
